sample	timestamp	elapsed_ms	cpu_count	cpu_busy_pct	cpu_nonidle_pct	cpu_user_pct	cpu_system_pct	cpu_iowait_pct	cpu_steal_pct	cpu_idle_pct	load1	load5	load15	procs_running	procs_blocked	context_switches_per_sec	interrupts_per_sec	mem_total_bytes	mem_used_bytes	mem_available_bytes	mem_free_bytes	buffers_bytes	cached_bytes	swap_total_bytes	swap_used_bytes	swap_in_bytes_per_sec	swap_out_bytes_per_sec	disk_read_bytes_per_sec	disk_write_bytes_per_sec	disk_io_in_progress	disk_io_time_millis_per_sec	net_rx_bytes_per_sec	net_tx_bytes_per_sec	net_rx_packets_per_sec	net_tx_packets_per_sec	net_rx_errors_per_sec	net_tx_errors_per_sec	net_rx_drops_per_sec	net_tx_drops_per_sec	cpu_pressure_some_avg10	memory_pressure_some_avg10	memory_pressure_full_avg10	io_pressure_some_avg10	io_pressure_full_avg10
0	2026-09-13T03:48:14.83311432Z	0	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6	0	0.000000	0.000000	3875172352	1919672320	1955500032	231485440	88068096	1813585920	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.180000	0.000000	0.000000	0.000000	0.000000
1	2026-09-13T03:48:15.844033067Z	1010	2	0.990099	0.990099	0.990099	0.000000	0.000000	0.000000	99.009901	0.000000	0.000000	0.000000	1	0	572.746344	334.349334	3875172352	1921462272	1953710080	229679104	88068096	1813602304	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	1008.983197	704.309839	6.924394	5.935195	0.000000	0.000000	0.000000	0.000000	0.180000	0.000000	0.000000	0.000000	0.000000
2	2026-09-13T03:48:16.844029899Z	2010	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	100.000000	0.000000	0.000000	0.000000	1	0	413.001308	240.000760	3875172352	1922232320	1952940032	228904960	88068096	1813606400	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	553.001751	196.000621	3.000010	2.000006	0.000000	0.000000	0.000000	0.000000	0.140000	0.000000	0.000000	0.000000	0.000000
3	2026-09-13T03:48:17.844263424Z	3011	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	100.000000	0.000000	0.000000	0.000000	1	0	503.882331	293.931360	3875172352	1923002368	1952169984	228130816	88068096	1813610496	0	0	0.000000	0.000000	0.000000	12285.131127	0	3.999066	500.883032	129.969649	1.999533	0.999767	0.000000	0.000000	0.000000	0.000000	0.140000	0.000000	0.000000	0.000000	0.000000
4	2026-09-13T03:48:18.844879577Z	4011	2	0.497512	0.995025	0.000000	0.497512	0.497512	0.000000	99.004975	0.000000	0.000000	0.000000	1	0	563.652703	345.786942	3875172352	1923260416	1951911936	227872768	88068096	1813610496	0	0	0.000000	0.000000	0.000000	2104047.582666	0	15.990148	604.627456	233.855909	3.997537	2.998153	0.000000	0.000000	0.000000	0.000000	0.120000	0.000000	0.000000	0.000000	0.000000
5	2026-09-13T03:48:19.844758394Z	5011	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	100.000000	0.000000	0.000000	0.000000	1	0	409.049570	249.030178	3875172352	1923256320	1951916032	227872768	88068096	1813614592	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	581.070416	238.028845	4.000485	3.000364	0.000000	0.000000	0.000000	0.000000	0.120000	0.000000	0.000000	0.000000	0.000000
6	2026-09-13T03:48:20.84455938Z	6011	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	100.000000	0.000000	0.000000	0.000000	1	0	413.082210	242.048171	3875172352	1923252224	1951920128	227872768	88068096	1813618688	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	501.099726	130.025877	2.000398	1.000199	0.000000	0.000000	0.000000	0.000000	0.090000	0.000000	0.000000	0.000000	0.000000
7	2026-09-13T03:48:21.844075114Z	7010	2	0.500000	0.500000	0.500000	0.000000	0.000000	0.000000	99.500000	0.000000	0.000000	0.000000	1	0	399.193316	242.117249	3875172352	1923252224	1951920128	227872768	88068096	1813618688	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	629.304751	286.138567	4.001938	3.001454	0.000000	0.000000	0.000000	0.000000	0.090000	0.000000	0.000000	0.000000	0.000000
8	2026-09-13T03:48:22.844076059Z	8010	2	0.497512	0.497512	0.000000	0.497512	0.000000	0.000000	99.502488	0.000000	0.000000	0.000000	1	0	430.999597	277.999740	3875172352	1923248128	1951924224	227872768	88068096	1813622784	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	604.999434	233.999781	3.999996	2.999997	0.000000	0.000000	0.000000	0.000000	0.080000	0.000000	0.000000	0.000000	0.000000
9	2026-09-13T03:48:23.844076438Z	9010	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	100.000000	0.000000	0.000000	0.000000	1	0	453.999823	274.999893	3875172352	1923239936	1951932416	227872768	88068096	1813630976	0	0	0.000000	0.000000	0.000000	28671.988818	0	3.999998	656.999744	327.999872	4.999998	3.999998	0.000000	0.000000	0.000000	0.000000	0.080000	0.000000	0.000000	0.000000	0.000000
