sample	timestamp	elapsed_ms	service	available	cpu_pct	cpu_host_pct	cpu_user_pct	cpu_system_pct	memory_current_bytes	memory_pct_of_host	memory_peak_bytes	io_read_bytes_per_sec	io_write_bytes_per_sec	tasks_current
0	2026-09-13T03:48:14.83311432Z	0	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
0	2026-09-13T03:48:14.83311432Z	0	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
0	2026-09-13T03:48:14.83311432Z	0	mysql.service	1	0.000000	0.000000	0.000000	0.000000	1544196096	39.848449	1610137600	0.000000	0.000000	61
1	2026-09-13T03:48:15.844033067Z	1010	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
1	2026-09-13T03:48:15.844033067Z	1010	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
1	2026-09-13T03:48:15.844033067Z	1010	mysql.service	1	0.137202	0.068601	0.107526	0.029775	1544196096	39.848449	1610137600	0.000000	0.000000	61
2	2026-09-13T03:48:16.844029899Z	2010	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
2	2026-09-13T03:48:16.844029899Z	2010	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
2	2026-09-13T03:48:16.844029899Z	2010	mysql.service	1	0.136500	0.068250	0.106800	0.029700	1544196096	39.848449	1610137600	0.000000	0.000000	61
3	2026-09-13T03:48:17.844263424Z	3011	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
3	2026-09-13T03:48:17.844263424Z	3011	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
3	2026-09-13T03:48:17.844263424Z	3011	mysql.service	1	0.136068	0.068034	0.106475	0.029493	1544196096	39.848449	1610137600	0.000000	0.000000	61
4	2026-09-13T03:48:18.844879577Z	4011	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
4	2026-09-13T03:48:18.844879577Z	4011	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
4	2026-09-13T03:48:18.844879577Z	4011	mysql.service	1	0.141513	0.070756	0.110832	0.030681	1544196096	39.848449	1610137600	0.000000	0.000000	61
5	2026-09-13T03:48:19.844758394Z	5011	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
5	2026-09-13T03:48:19.844758394Z	5011	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
5	2026-09-13T03:48:19.844758394Z	5011	mysql.service	1	0.135216	0.067608	0.105813	0.029404	1544196096	39.848449	1610137600	0.000000	0.000000	61
6	2026-09-13T03:48:20.84455938Z	6011	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
6	2026-09-13T03:48:20.84455938Z	6011	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
6	2026-09-13T03:48:20.84455938Z	6011	mysql.service	1	0.135027	0.067513	0.105821	0.029306	1544196096	39.848449	1610137600	0.000000	0.000000	61
7	2026-09-13T03:48:21.844075114Z	7010	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
7	2026-09-13T03:48:21.844075114Z	7010	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
7	2026-09-13T03:48:21.844075114Z	7010	mysql.service	1	0.132864	0.066432	0.103950	0.028814	1544196096	39.848449	1610137600	0.000000	0.000000	61
8	2026-09-13T03:48:22.844076059Z	8010	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
8	2026-09-13T03:48:22.844076059Z	8010	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
8	2026-09-13T03:48:22.844076059Z	8010	mysql.service	1	0.133700	0.066850	0.104600	0.029100	1544196096	39.848449	1610137600	0.000000	0.000000	61
9	2026-09-13T03:48:23.844076438Z	9010	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
9	2026-09-13T03:48:23.844076438Z	9010	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
9	2026-09-13T03:48:23.844076438Z	9010	mysql.service	1	0.143900	0.071950	0.112700	0.031200	1544196096	39.848449	1610137600	0.000000	0.000000	61
10	2026-09-13T03:48:24.844073386Z	10010	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
10	2026-09-13T03:48:24.844073386Z	10010	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
10	2026-09-13T03:48:24.844073386Z	10010	mysql.service	1	0.139500	0.069750	0.109200	0.030300	1544196096	39.848449	1610137600	0.000000	0.000000	61
11	2026-09-13T03:48:25.844076348Z	11010	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
11	2026-09-13T03:48:25.844076348Z	11010	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
11	2026-09-13T03:48:25.844076348Z	11010	mysql.service	1	0.136300	0.068150	0.136300	0.000000	1544196096	39.848449	1610137600	0.000000	0.000000	61
12	2026-09-13T03:48:26.844073943Z	12010	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
12	2026-09-13T03:48:26.844073943Z	12010	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
12	2026-09-13T03:48:26.844073943Z	12010	mysql.service	1	0.138300	0.069150	0.138400	0.000000	1544196096	39.848449	1610137600	0.000000	0.000000	61
13	2026-09-13T03:48:27.844092785Z	13010	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
13	2026-09-13T03:48:27.844092785Z	13010	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
13	2026-09-13T03:48:27.844092785Z	13010	mysql.service	1	0.134197	0.067099	0.134097	0.000000	1544196096	39.848449	1610137600	0.000000	0.000000	61
14	2026-09-13T03:48:28.844557539Z	14011	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
14	2026-09-13T03:48:28.844557539Z	14011	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
14	2026-09-13T03:48:28.844557539Z	14011	mysql.service	1	0.142834	0.071417	0.142934	0.000000	1544196096	39.848449	1610137600	0.000000	0.000000	61
15	2026-09-13T03:48:29.844155126Z	15011	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
15	2026-09-13T03:48:29.844155126Z	15011	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
15	2026-09-13T03:48:29.844155126Z	15011	mysql.service	1	0.137555	0.068778	0.000000	0.137555	1544196096	39.848449	1610137600	0.000000	0.000000	61
16	2026-09-13T03:48:30.844760857Z	16011	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
16	2026-09-13T03:48:30.844760857Z	16011	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
16	2026-09-13T03:48:30.844760857Z	16011	mysql.service	1	0.140615	0.070307	0.000000	0.140615	1544196096	39.848449	1610137600	0.000000	0.000000	61
17	2026-09-13T03:48:31.844393208Z	17011	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
17	2026-09-13T03:48:31.844393208Z	17011	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
17	2026-09-13T03:48:31.844393208Z	17011	mysql.service	1	0.136050	0.068025	0.052619	0.083431	1544196096	39.848449	1610137600	0.000000	0.000000	61
18	2026-09-13T03:48:32.844082219Z	18010	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
18	2026-09-13T03:48:32.844082219Z	18010	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
18	2026-09-13T03:48:32.844082219Z	18010	mysql.service	1	0.139143	0.069572	0.139043	0.000000	1544196096	39.848449	1610137600	0.000000	0.000000	61
19	2026-09-13T03:48:33.844921034Z	19011	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
19	2026-09-13T03:48:33.844921034Z	19011	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
19	2026-09-13T03:48:33.844921034Z	19011	mysql.service	1	0.140682	0.070341	0.140782	0.000000	1544196096	39.848449	1610137600	0.000000	0.000000	61
20	2026-09-13T03:48:34.844544249Z	20011	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
20	2026-09-13T03:48:34.844544249Z	20011	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
20	2026-09-13T03:48:34.844544249Z	20011	mysql.service	1	0.140053	0.070026	0.139953	0.000000	1544196096	39.848449	1610137600	0.000000	0.000000	61
21	2026-09-13T03:48:35.844128977Z	21011	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
21	2026-09-13T03:48:35.844128977Z	21011	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
21	2026-09-13T03:48:35.844128977Z	21011	mysql.service	1	0.142759	0.071380	0.115248	0.027611	1544196096	39.848449	1610137600	0.000000	0.000000	61
22	2026-09-13T03:48:36.84475552Z	22011	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
22	2026-09-13T03:48:36.84475552Z	22011	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
22	2026-09-13T03:48:36.84475552Z	22011	mysql.service	1	0.139313	0.069656	0.109032	0.030181	1544196096	39.848449	1610137600	0.000000	0.000000	61
23	2026-09-13T03:48:37.844077768Z	23010	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
23	2026-09-13T03:48:37.844077768Z	23010	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
23	2026-09-13T03:48:37.844077768Z	23010	mysql.service	1	0.141396	0.070698	0.110675	0.030721	1544196096	39.848449	1610137600	0.000000	0.000000	61
24	2026-09-13T03:48:38.844072932Z	24010	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
24	2026-09-13T03:48:38.844072932Z	24010	nginx.service	1	0.000000	0.000000	0.000000	0.000000	67272704	1.735993	113303552	0.000000	0.000000	3
