sample	timestamp	elapsed_ms	status_rows	threads_connected	threads_running	threads_cached	threads_created_total	threads_created_per_sec	connections_total	connections_per_sec	questions_total	questions_per_sec	com_select_total	com_select_per_sec	com_insert_total	com_insert_per_sec	com_update_total	com_update_per_sec	com_delete_total	com_delete_per_sec	bytes_received_total	bytes_received_per_sec	bytes_sent_total	bytes_sent_per_sec	buffer_pool_pages_total	buffer_pool_pages_free	buffer_pool_pages_dirty	buffer_pool_read_requests_total	buffer_pool_read_requests_per_sec	buffer_pool_reads_total	buffer_pool_reads_per_sec	buffer_pool_hit_pct	row_lock_current_waits	row_lock_waits_total	row_lock_waits_per_sec	row_lock_time_ms_total	row_lock_time_ms_per_sec	innodb_log_waits_total	innodb_log_waits_per_sec	created_tmp_tables_total	created_tmp_tables_per_sec	created_tmp_disk_tables_total	created_tmp_disk_tables_per_sec	tmp_disk_ratio_pct	aborted_connects_total	aborted_connects_per_sec
0	2026-09-13T03:48:15.075236656Z	0	24	2	2	1	3	0.000	752	0.000	198654	0.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28439131	0.000	45039445	0.000	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1161	0.000	0	0.000	0.000	1	0.000
1	2026-09-13T03:48:16.076566526Z	1001	24	2	2	1	3	0.000	752	0.000	198655	0.999	32435	0.000	163525	0.000	0	0.000	244	0.000	28439684	552.266	45040295	848.871	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1162	0.999	0	0.000	0.000	1	0.000
2	2026-09-13T03:48:17.076531514Z	2001	24	2	2	1	3	0.000	752	0.000	198656	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28440237	553.019	45041145	850.030	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1163	1.000	0	0.000	0.000	1	0.000
3	2026-09-13T03:48:18.076561503Z	3001	24	2	2	1	3	0.000	752	0.000	198657	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28440790	552.983	45041995	849.975	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1164	1.000	0	0.000	0.000	1	0.000
4	2026-09-13T03:48:19.076480282Z	4001	24	2	2	1	3	0.000	752	0.000	198658	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28441343	553.045	45042845	850.069	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1165	1.000	0	0.000	0.000	1	0.000
5	2026-09-13T03:48:20.076797276Z	5001	24	2	2	1	3	0.000	752	0.000	198659	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28441896	552.825	45043695	849.731	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1166	1.000	0	0.000	0.000	1	0.000
6	2026-09-13T03:48:21.076848574Z	6001	24	2	2	1	3	0.000	752	0.000	198660	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28442449	552.972	45044545	849.956	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1167	1.000	0	0.000	0.000	1	0.000
7	2026-09-13T03:48:22.077193368Z	7001	24	2	2	1	3	0.000	752	0.000	198661	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28443002	552.809	45045395	849.707	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1168	1.000	0	0.000	0.000	1	0.000
8	2026-09-13T03:48:23.07656313Z	8001	24	2	2	1	3	0.000	752	0.000	198662	1.001	32435	0.000	163525	0.000	0	0.000	244	0.000	28443555	553.349	45046245	850.536	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1169	1.001	0	0.000	0.000	1	0.000
9	2026-09-13T03:48:24.076463807Z	9001	24	2	2	1	3	0.000	752	0.000	198663	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28444108	553.055	45047095	850.084	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1170	1.000	0	0.000	0.000	1	0.000
